3
999
999
4.310307e-02
10 01
T T
2.155153e-02 2.155153e-02 1.000000 0.975682 0.412877
4.672131e-01 2.155153e-02 2.155153e-02 1.000000 0.623777 0.542972
7.654348e-01 2.155153e-02 2.155153e-02 1.000000 0.236458 0.054744
4.107347e-01 2.155153e-02 2.155153e-02 1.000000 0.809216 0.025382
6.727327e-01 2.155153e-02 2.155153e-02 1.000000 0.327309 0.906779
1.873859e-01 2.155153e-02 2.155153e-02 1.000000 0.612573 0.579150
1.068715e-02 2.155153e-02 2.155153e-02 1.000000 0.290779 0.191990
5.605765e-01 2.155153e-02 2.155153e-02 1.000000 0.972211 0.891907
3.896729e-02 2.155153e-02 2.155153e-02 1.000000 0.564727 0.910234
4.962151e-01 2.155153e-02 2.155153e-02 1.000000 0.832666 0.448874
8.691427e-01 2.155153e-02 2.155153e-02 1.000000 0.273778 0.126252
6.907307e-01 2.155153e-02 2.155153e-02 1.000000 0.970422 0.540343
6.753007e-01 2.155153e-02 2.155153e-02 1.000000 0.148632 0.508373
8.671203e-01 2.155153e-02 2.155153e-02 1.000000 0.895926 0.489579
3.409839e-01 2.155153e-02 2.155153e-02 1.000000 0.085370 0.702451
9.599962e-01 2.155153e-02 2.155153e-02 1.000000 0.750224 0.838230
5.570803e-01 2.155153e-02 2.155153e-02 1.000000 0.023727 0.613878
4.316596e-01 2.155153e-02 2.155153e-02 1.000000 0.738902 0.668197
1.797123e-01 2.155153e-02 2.155153e-02 1.000000 0.977778 0.479281
3.853872e-01 2.155153e-02 2.155153e-02 1.000000 0.351496 0.698133
7.489308e-01 2.155153e-02 2.155153e-02 1.000000 0.043982 0.711107
9.826016e-01 2.155153e-02 2.155153e-02 1.000000 0.186263 0.115105
2.214054e-01 2.155153e-02 2.155153e-02 1.000000 0.623305 0.344223
3.611111e-01 2.155153e-02 2.155153e-02 1.000000 0.588196 0.433510
9.334511e-01 2.155153e-02 2.155153e-02 1.000000 0.432852 0.158046
4.524748e-01 2.155153e-02 2.155153e-02 1.000000 0.345194 0.702721
9.126946e-01 2.155153e-02 2.155153e-02 1.000000 0.370981 0.912475
8.441346e-01 2.155153e-02 2.155153e-02 1.000000 0.486335 0.728054
8.475321e-01 2.155153e-02 2.155153e-02 1.000000 0.348296 0.293687
7.210917e-01 2.155153e-02 2.155153e-02 1.000000 0.367626 0.305474
8.832397e-01 2.155153e-02 2.155153e-02 1.000000 0.737692 0.906239
9.053031e-01 2.155153e-02 2.155153e-02 1.000000 0.524613 0.769127
4.750273e-01 2.155153e-02 2.155153e-02 1.000000 0.353496 0.563103
8.127702e-02 2.155153e-02 2.155153e-02 1.000000 0.589401 0.536320
5.623001e-02 2.155153e-02 2.155153e-02 1.000000 0.570491 0.298627
8.405911e-01 2.155153e-02 2.155153e-02 1.000000 0.629667 0.362109
7.437806e-01 2.155153e-02 2.155153e-02 1.000000 0.095379 0.213807
5.641101e-01 2.155153e-02 2.155153e-02 1.000000 0.405610 0.704625
4.122284e-01 2.155153e-02 2.155153e-02 1.000000 0.776885 0.114603
8.056930e-01 2.155153e-02 2.155153e-02 1.000000 0.493542 0.590305
9.556347e-01 2.155153e-02 2.155153e-02 1.000000 0.697806 0.238624
8.504262e-02 2.155153e-02 2.155153e-02 1.000000 0.716339 0.303238
9.085941e-01 2.155153e-02 2.155153e-02 1.000000 0.633475 0.816313
7.525133e-01 2.155153e-02 2.155153e-02 1.000000 0.380550 0.082770
1.218176e-01 2.155153e-02 2.155153e-02 1.000000 0.538516 0.839395
1.686400e-01 2.155153e-02 2.155153e-02 1.000000 0.942145 0.479192
4.279307e-02 2.155153e-02 2.155153e-02 1.000000 0.961182 0.662465
9.929841e-01 2.155153e-02 2.155153e-02 1.000000 0.165031 0.390243
7.551471e-01 2.155153e-02 2.155153e-02 1.000000 0.185396 0.539345
9.422582e-01 2.155153e-02 2.155153e-02 1.000000 0.766318 0.856610
3.672363e-01 2.155153e-02 2.155153e-02 1.000000 0.468909 0.052437
5.028960e-01 2.155153e-02 2.155153e-02 1.000000 0.960558 0.799810
9.315564e-01 2.155153e-02 2.155153e-02 1.000000 0.386776 0.107410
9.829392e-01 2.155153e-02 2.155153e-02 1.000000 0.855066 0.149257
3.080160e-01 2.155153e-02 2.155153e-02 1.000000 0.460224 0.496803
7.979228e-01 2.155153e-02 2.155153e-02 1.000000 0.394416 0.896512
5.070713e-01 2.155153e-02 2.155153e-02 1.000000 0.304965 0.352634
8.006215e-01 2.155153e-02 2.155153e-02 1.000000 0.223075 0.944758
5.672013e-01 2.155153e-02 2.155153e-02 1.000000 0.981977 0.971850
1.044293e-02 2.155153e-02 2.155153e-02 1.000000 0.059529 0.313309
6.359630e-01 2.155153e-02 2.155153e-02 1.000000 0.566156 0.436855
4.092073e-01 2.155153e-02 2.155153e-02 1.000000 0.894593 0.250790
5.966469e-01 2.155153e-02 2.155153e-02 1.000000 0.933003 0.524228
5.988258e-02 2.155153e-02 2.155153e-02 1.000000 0.696081 0.659861
4.681815e-01 2.155153e-02 2.155153e-02 1.000000 0.969974 0.380179
1.168058e-01 2.155153e-02 2.155153e-02 1.000000 0.111570 0.191139
9.343970e-01 2.155153e-02 2.155153e-02 1.000000 0.059762 0.835471
8.858819e-01 2.155153e-02 2.155153e-02 1.000000 0.909690 0.170955
2.683675e-01 2.155153e-02 2.155153e-02 1.000000 0.635839 0.045994
6.397868e-01 2.155153e-02 2.155153e-02 1.000000 0.539021 0.027675
4.731919e-01 2.155153e-02 2.155153e-02 1.000000 0.379475 0.836474
2.276513e-01 2.155153e-02 2.155153e-02 1.000000 0.399010 0.327850
4.655650e-01 2.155153e-02 2.155153e-02 1.000000 0.438200 0.410823
8.494488e-01 2.155153e-02 2.155153e-02 1.000000 0.141842 0.178498
2.496893e-01 2.155153e-02 2.155153e-02 1.000000 0.710370 0.840141
2.563493e-02 2.155153e-02 2.155153e-02 1.000000 0.541608 0.211872
5.735366e-01 2.155153e-02 2.155153e-02 1.000000 0.721448 0.627180
5.359754e-01 2.155153e-02 2.155153e-02 1.000000 0.467268 0.455622
1.430924e-01 2.155153e-02 2.155153e-02 1.000000 0.870272 0.493488
4.120092e-01 2.155153e-02 2.155153e-02 1.000000 0.208292 0.243621
8.214118e-01 2.155153e-02 2.155153e-02 1.000000 0.808315 0.542205
8.651771e-01 2.155153e-02 2.155153e-02 1.000000 0.132161 0.158618
6.476548e-01 2.155153e-02 2.155153e-02 1.000000 0.135494 0.864554
4.634153e-01 2.155153e-02 2.155153e-02 1.000000 0.876207 0.574229
1.783432e-01 2.155153e-02 2.155153e-02 1.000000 0.808953 0.999649
7.822315e-01 2.155153e-02 2.155153e-02 1.000000 0.868489 0.718160
4.796978e-01 2.155153e-02 2.155153e-02 1.000000 0.933847 0.339083
7.922466e-01 2.155153e-02 2.155153e-02 1.000000 0.102154 0.058300
5.273284e-02 2.155153e-02 2.155153e-02 1.000000 0.069800 0.130980
6.175877e-01 2.155153e-02 2.155153e-02 1.000000 0.994731 0.335805
9.897010e-01 2.155153e-02 2.155153e-02 1.000000 0.798003 0.896493
7.075404e-01 2.155153e-02 2.155153e-02 1.000000 0.287176 0.213739
5.103399e-03 2.155153e-02 2.155153e-02 1.000000 0.672521 0.095176
3.067459e-01 2.155153e-02 2.155153e-02 1.000000 0.838677 0.485705
2.271819e-01 2.155153e-02 2.155153e-02 1.000000 0.808080 0.865677
5.143672e-01 2.155153e-02 2.155153e-02 1.000000 0.235609 0.702972
9.972334e-01 2.155153e-02 2.155153e-02 1.000000 0.496657 0.641859
9.470822e-01 2.155153e-02 2.155153e-02 1.000000 0.159715 0.893243
7.340521e-01 2.155153e-02 2.155153e-02 1.000000 0.792442 0.304861
5.333736e-01 2.155153e-02 2.155153e-02 1.000000 0.666216 0.631103
9.187740e-01 2.155153e-02 2.155153e-02 1.000000 0.548023 0.395900
9.035974e-01 2.155153e-02 2.155153e-02 1.000000 0.793047 0.370091
8.630219e-01 2.155153e-02 2.155153e-02 1.000000 0.085960 0.275039
9.761534e-01 2.155153e-02 2.155153e-02 1.000000 0.887597 0.466123
1.267245e-02 2.155153e-02 2.155153e-02 1.000000 0.229927 0.244254
4.040599e-01 2.155153e-02 2.155153e-02 1.000000 0.673883 0.364921
9.273868e-01 2.155153e-02 2.155153e-02 1.000000 0.397839 0.304527
6.924196e-01 2.155153e-02 2.155153e-02 1.000000 0.845779 0.458783
3.385342e-01 2.155153e-02 2.155153e-02 1.000000 0.855605 0.469512
9.734349e-01 2.155153e-02 2.155153e-02 1.000000 0.570622 0.792613
4.911079e-01 2.155153e-02 2.155153e-02 1.000000 0.704447 0.353720
8.337913e-01 2.155153e-02 2.155153e-02 1.000000 0.001872 0.187126
1.633862e-02 2.155153e-02 2.155153e-02 1.000000 0.044029 0.002612
6.156161e-01 2.155153e-02 2.155153e-02 1.000000 0.634588 0.280079
2.343467e-01 2.155153e-02 2.155153e-02 1.000000 0.552517 0.271046
9.286064e-02 2.155153e-02 2.155153e-02 1.000000 0.643993 0.615630
6.197107e-01 2.155153e-02 2.155153e-02 1.000000 0.945057 0.375220
8.525638e-01 2.155153e-02 2.155153e-02 1.000000 0.505112 0.166615
1.478411e-01 2.155153e-02 2.155153e-02 1.000000 0.430892 0.834092
6.860011e-02 2.155153e-02 2.155153e-02 1.000000 0.786018 0.706721
2.814118e-01 2.155153e-02 2.155153e-02 1.000000 0.732042 0.650859
2.171859e-02 2.155153e-02 2.155153e-02 1.000000 0.995296 0.872014
6.296386e-01 2.155153e-02 2.155153e-02 1.000000 0.965297 0.071416
3.991908e-01 2.155153e-02 2.155153e-02 1.000000 0.857572 0.618336
